student_id,age,gender,ethnicity,grade_level,gpa,prev_year_gpa,attendance_rate,prev_year_attendance,math_score,reading_score,disciplinary_incidents,days_suspended,extracurricular_activities,credits_earned,credits_attempted,free_reduced_lunch,parent_education,special_education,english_learner,gifted_talented,school_changes,dropped_out
STU000084,14,F,Black,9,2.12,2.18,0.978,0.959,432,392,2,6,1,56,59,1,Bachelor+,0,0,0,0,0
STU000085,17,F,Hispanic,12,2.96,2.89,0.941,0.82,558,607,0,0,1,71,72,0,High School,1,0,0,0,0
STU000086,17,M,Hispanic,12,3.49,3.3,1.0,1.0,556,627,0,0,4,72,72,0,Bachelor+,0,0,0,0,0
STU000087,18,F,Other,12,1.57,2.17,0.8,0.693,403,386,3,9,0,71,75,1,Bachelor+,0,0,0,1,1
STU000088,18,F,Hispanic,12,1.24,1.56,1.0,1.0,330,387,1,1,1,74,77,1,High School,0,1,0,0,0
STU000089,15,F,White,10,1.79,1.24,0.912,0.895,477,543,0,0,3,59,61,0,High School,0,0,0,0,0
STU000090,17,F,White,12,2.02,1.86,0.912,0.94,405,518,3,0,1,69,72,1,Bachelor+,0,0,0,0,0
STU000091,15,M,White,10,1.59,1.64,0.913,0.893,415,324,0,0,0,61,63,0,Bachelor+,1,1,0,0,0
STU000092,14,F,Hispanic,9,1.35,1.39,0.989,1.0,361,401,2,6,0,57,61,1,Some College,1,0,0,0,1
STU000093,17,M,White,12,2.83,2.54,0.996,0.977,627,524,2,4,1,75,78,1,Bachelor+,0,0,0,0,1
STU000094,14,F,White,9,2.96,2.4,0.904,0.889,579,522,0,0,0,54,54,0,Bachelor+,0,0,0,0,0
STU000095,17,M,Hispanic,12,3.66,3.46,0.924,1.0,531,657,0,0,1,73,75,0,Bachelor+,1,0,0,0,1
STU000096,14,F,White,9,2.65,2.39,0.865,0.819,498,495,2,4,0,57,60,0,Some College,0,1,0,0,0
STU000097,14,M,White,9,0.29,0.0,1.0,1.0,253,200,4,12,0,54,58,0,Less than HS,0,1,0,0,1
STU000098,14,M,Asian,9,1.7,1.93,0.911,0.987,405,430,2,6,1,54,56,1,High School,0,0,0,0,0
STU000099,14,F,Hispanic,9,1.75,1.66,0.84,0.929,314,380,2,2,1,51,55,1,Less than HS,0,0,0,0,0
STU000100,16,F,Black,11,1.24,1.19,0.899,0.825,372,369,2,2,3,68,70,1,Some College,1,0,0,1,1
STU000101,17,M,Hispanic,12,2.77,3.12,0.794,0.774,492,424,2,4,1,72,74,1,High School,0,0,0,1,0
STU000102,15,M,Black,10,2.55,2.21,1.0,1.0,442,471,2,0,4,62,66,1,High School,0,0,0,0,1
STU000103,16,F,White,11,3.29,3.43,1.0,1.0,597,569,0,0,2,67,67,0,Bachelor+,0,0,0,1,0
STU000104,18,M,White,12,3.29,3.62,1.0,1.0,525,588,0,0,3,71,71,0,Less than HS,0,0,1,0,1
STU000105,14,M,White,9,1.65,2.25,0.849,0.849,419,399,0,0,0,53,54,1,Bachelor+,0,0,0,1,1
STU000106,14,M,White,9,2.97,2.55,0.971,1.0,436,450,1,2,4,57,58,1,Some College,0,1,0,0,0
STU000107,18,M,White,12,0.66,0.92,0.794,0.788,247,291,2,4,0,70,72,1,Less than HS,0,0,0,0,1
STU000108,17,M,Asian,12,2.1,2.11,0.916,0.947,378,372,0,0,1,74,74,1,Bachelor+,0,0,0,0,1
STU000109,17,M,Hispanic,12,1.37,1.27,0.857,0.814,352,396,2,0,2,73,77,0,Bachelor+,0,0,0,1,0
STU000110,17,M,Black,12,2.92,2.73,0.806,0.807,507,625,0,0,0,70,72,1,Some College,0,0,0,0,0
STU000111,14,M,Hispanic,9,2.74,2.38,0.956,0.979,576,419,2,4,1,51,55,0,Bachelor+,0,1,0,0,0
STU000112,17,F,White,12,3.37,3.74,0.882,0.866,636,565,0,0,1,71,71,0,Some College,1,0,0,1,0
STU000113,14,F,Black,9,2.73,2.78,0.911,0.824,621,477,0,0,0,56,57,1,Bachelor+,0,0,1,1,1
STU000114,14,M,White,9,2.88,3.01,0.945,0.946,564,533,1,3,1,57,58,0,Some College,0,0,0,0,1
STU000115,15,F,Hispanic,10,3.06,3.66,1.0,1.0,647,585,2,6,2,61,64,0,Some College,0,0,0,0,0
STU000116,17,M,Hispanic,12,2.42,2.55,0.879,0.828,473,474,2,4,4,72,76,1,Bachelor+,0,1,0,1,0
STU000117,14,M,Hispanic,9,2.3,2.3,0.796,0.731,489,592,0,0,3,56,57,1,Some College,0,0,0,0,0
STU000118,18,F,Black,12,2.16,1.92,0.947,1.0,445,379,1,1,0,74,77,0,Bachelor+,1,0,0,0,1
STU000119,18,F,Other,12,2.33,2.71,1.0,0.976,500,453,2,2,1,70,74,1,Bachelor+,0,0,0,0,1
STU000120,15,M,Hispanic,10,1.57,1.92,1.0,0.97,370,424,0,0,4,59,60,1,High School,1,1,0,0,0
STU000121,15,M,Hispanic,10,1.83,1.67,0.823,0.813,468,529,2,4,1,60,64,1,Bachelor+,1,0,0,1,1
STU000122,18,M,White,12,2.36,2.16,0.852,0.913,480,543,0,0,2,73,74,0,High School,0,0,0,1,0
STU000123,17,M,White,12,2.64,2.42,0.877,0.918,462,456,0,0,0,72,73,0,Less than HS,0,0,0,0,0
STU000124,18,F,Asian,12,2.75,2.88,1.0,1.0,612,577,0,0,2,71,72,1,Bachelor+,0,0,0,2,1
STU000125,17,M,Black,12,1.25,1.23,0.869,0.891,385,369,0,0,1,74,74,1,High School,0,0,0,1,0
STU000126,16,F,Black,11,3.09,3.78,0.975,1.0,583,624,1,3,2,68,69,1,Some College,0,1,0,0,0
STU000127,16,M,White,11,0.95,0.81,0.881,0.83,412,341,5,0,1,68,73,1,High School,1,0,0,0,1
STU000128,16,F,White,11,1.42,1.54,0.796,0.794,363,415,4,8,1,63,68,0,Less than HS,0,0,0,0,1
STU000129,15,F,Black,10,2.19,2.21,0.848,0.936,419,482,1,0,3,60,63,1,Some College,0,0,0,0,1
STU000130,16,F,Hispanic,11,1.97,1.53,0.928,0.999,440,394,1,2,3,65,67,0,Some College,0,0,0,0,0
STU000131,14,M,Asian,9,2.08,1.95,0.943,1.0,467,371,2,6,0,53,55,0,Bachelor+,0,0,0,0,0
STU000132,17,F,White,12,3.42,3.0,0.904,0.914,625,668,1,3,2,74,77,0,High School,0,0,0,0,0
STU000133,16,F,Black,11,2.49,2.87,0.957,0.933,543,498,1,2,0,64,67,1,Some College,0,0,0,0,1
STU000134,17,M,White,12,1.48,1.74,0.905,0.862,438,433,2,6,0,70,74,0,High School,0,0,0,0,0
STU000135,18,F,White,12,1.55,1.45,0.914,0.876,553,429,5,0,1,75,80,0,High School,0,1,0,0,1
STU000136,18,F,Hispanic,12,2.84,2.58,0.842,0.78,523,515,1,1,0,75,77,1,Some College,0,0,0,1,1
STU000137,14,F,White,9,0.69,0.72,0.899,0.913,365,272,2,6,4,51,55,0,Some College,0,0,0,0,0
STU000138,14,F,Hispanic,9,2.34,1.94,0.955,0.944,529,543,3,9,1,51,56,1,Some College,0,0,0,1,0
STU000139,14,M,White,9,2.78,2.63,0.892,0.927,538,592,2,0,1,53,56,1,Bachelor+,0,0,0,1,0
STU000140,16,M,White,11,3.29,3.05,0.977,1.0,495,675,0,0,2,64,64,1,High School,0,0,0,0,0
STU000141,16,M,White,11,1.86,1.97,0.846,0.872,511,370,5,5,2,66,73,0,Bachelor+,0,0,0,1,1
STU000142,16,F,White,11,3.17,3.03,0.844,0.84,609,495,2,2,3,67,69,1,High School,0,0,0,0,1
STU000143,18,F,White,12,3.2,3.09,1.0,0.949,534,579,3,9,1,71,74,1,Bachelor+,0,0,0,0,1
STU000144,17,F,Black,12,2.13,2.63,1.0,1.0,563,521,4,8,2,73,79,1,High School,0,0,0,1,1
STU000145,16,M,Black,11,2.95,2.99,1.0,1.0,527,514,2,2,0,69,71,0,Some College,0,0,0,0,0
STU000146,17,F,White,12,1.66,1.55,0.925,0.934,438,427,4,8,1,71,76,1,Less than HS,0,0,0,0,0
STU000147,16,F,White,11,3.24,3.38,0.976,1.0,615,568,1,3,1,69,70,0,Bachelor+,1,0,0,0,0
STU000148,15,F,White,10,2.71,2.29,0.901,0.836,490,577,0,0,0,58,60,0,Some College,0,0,0,0,0
STU000149,15,M,Asian,10,2.9,3.71,0.916,0.907,555,548,0,0,0,60,61,0,Bachelor+,0,0,0,3,0
STU000150,15,F,White,10,3.55,4.0,1.0,1.0,665,606,2,4,1,57,61,0,Bachelor+,0,0,0,0,1
STU000151,17,F,White,12,4.0,3.98,1.0,1.0,651,664,0,0,2,71,72,0,Some College,1,0,0,0,0
STU000152,14,F,Black,9,1.86,1.82,1.0,0.941,560,564,3,0,2,55,58,1,High School,1,0,0,0,1
STU000153,18,M,Asian,12,2.35,2.4,0.933,0.903,565,505,1,1,0,73,75,1,Some College,1,0,0,0,1
STU000154,18,F,Black,12,0.7,0.73,0.849,0.816,332,279,1,0,2,70,72,0,Less than HS,0,0,0,0,1
STU000155,15,F,Hispanic,10,1.33,1.21,0.795,0.811,332,395,2,6,2,63,65,0,Bachelor+,0,0,0,0,1
STU000156,14,F,White,9,2.73,2.4,0.875,0.89,481,453,2,6,1,56,60,1,Some College,1,0,0,2,0
STU000157,15,M,White,10,2.69,2.82,0.906,0.989,547,557,1,3,1,63,64,1,Some College,0,0,0,2,0
STU000158,18,F,Hispanic,12,1.18,1.32,1.0,1.0,413,380,5,10,2,70,76,1,Some College,0,0,0,0,1
STU000159,18,M,White,12,1.42,1.66,0.931,0.836,376,435,2,2,1,75,78,1,High School,1,0,0,0,1
STU000160,18,F,White,12,0.49,0.36,0.972,1.0,234,232,2,0,2,74,76,1,High School,0,0,0,0,0
STU000161,14,F,White,9,3.78,3.41,0.959,0.923,648,663,0,0,2,56,56,0,High School,0,0,0,0,0
STU000162,16,M,Hispanic,11,1.88,1.52,1.0,0.98,414,425,1,1,1,67,70,0,Some College,0,0,0,0,0
STU000163,17,M,White,12,1.63,1.33,0.722,0.804,379,353,0,0,1,73,73,1,Bachelor+,0,0,1,1,1
STU000164,15,F,Black,10,2.26,2.23,0.794,0.815,500,461,0,0,0,59,60,0,Less than HS,0,0,0,1,1
STU000165,14,F,Hispanic,9,4.0,4.0,0.922,0.905,668,571,0,0,1,56,56,0,Bachelor+,0,1,0,0,0
STU000166,15,F,White,10,2.52,1.95,0.927,0.993,448,452,0,0,3,58,59,0,Bachelor+,0,0,0,0,0
STU000167,15,M,Hispanic,10,1.31,1.33,0.873,0.868,419,351,3,9,1,61,65,1,High School,1,0,0,0,0
STU000168,15,M,White,10,1.93,2.44,1.0,0.957,410,411,2,0,1,60,63,1,Bachelor+,0,0,0,0,1
STU000169,18,M,Hispanic,12,3.06,3.09,0.914,0.912,573,500,0,0,2,74,75,0,Bachelor+,0,0,0,0,1
STU000170,16,M,White,11,1.87,2.31,0.76,0.775,472,336,1,0,1,63,66,1,Bachelor+,0,0,0,0,0
STU000171,17,M,Hispanic,12,2.23,2.12,0.881,0.943,459,418,0,0,2,69,69,0,Some College,0,0,0,0,0
STU000172,15,M,White,10,3.77,3.82,0.81,0.857,572,725,0,0,2,63,63,0,Bachelor+,0,0,1,0,0
STU000173,15,M,White,10,1.7,1.85,0.935,0.907,475,339,1,0,2,59,61,0,Bachelor+,0,0,0,0,0
STU000174,17,F,White,12,2.22,2.23,0.996,0.981,504,455,0,0,1,71,72,1,Some College,0,0,0,1,0
STU000175,14,F,Black,9,1.73,2.02,0.901,0.984,439,422,1,0,1,55,57,0,Some College,1,0,0,0,0
STU000176,17,F,White,12,2.72,3.48,0.974,0.942,626,464,1,3,1,70,73,1,Bachelor+,1,0,0,0,1
STU000177,17,M,White,12,1.23,1.36,1.0,0.932,292,326,2,4,1,71,75,0,Less than HS,0,0,1,1,0
STU000178,18,M,Asian,12,1.59,1.91,1.0,0.974,394,500,2,4,1,71,75,0,Less than HS,0,0,0,0,1
STU000179,17,M,White,12,2.57,2.34,1.0,0.985,451,616,0,0,1,75,76,1,Some College,0,0,0,0,0
STU000180,16,F,White,11,2.75,3.01,1.0,1.0,535,579,0,0,1,66,68,0,High School,0,0,0,0,0
STU000181,16,F,Black,11,3.83,3.96,0.971,0.999,590,686,0,0,0,63,65,0,Some College,0,1,0,0,0
STU000182,18,F,Black,12,1.82,1.75,0.881,0.921,335,483,1,3,0,71,74,0,Bachelor+,0,0,0,0,1
STU000183,17,M,Hispanic,12,2.7,2.58,0.914,0.849,518,550,0,0,0,75,75,0,High School,0,0,0,0,0
STU000184,15,F,Black,10,2.31,2.82,0.99,1.0,397,560,3,3,0,60,65,1,High School,0,0,0,1,0
STU000185,15,F,White,10,2.57,2.61,0.803,0.755,513,524,0,0,0,60,61,0,Some College,0,0,1,0,0
STU000186,17,F,White,12,2.44,2.6,0.934,1.0,493,438,0,0,0,75,76,1,Less than HS,1,0,1,0,0
STU000187,14,M,White,9,2.84,2.85,1.0,1.0,571,522,0,0,2,54,56,1,Bachelor+,0,0,1,0,0
STU000188,16,F,Asian,11,1.22,1.17,0.94,1.0,397,468,1,0,0,69,72,0,Some College,0,0,0,0,1
STU000189,14,F,Black,9,1.96,2.33,0.866,0.846,444,391,2,6,2,55,57,1,High School,0,0,0,0,0
STU000190,15,F,White,10,2.18,2.46,0.93,0.939,423,451,1,0,0,60,62,0,Bachelor+,0,0,0,0,0
STU000191,16,M,Hispanic,11,1.3,1.06,1.0,0.979,463,416,3,0,2,69,74,0,High School,0,0,0,0,1
STU000192,18,M,Black,12,3.06,3.29,0.92,0.881,541,577,0,0,1,73,73,0,Some College,0,0,1,1,0
STU000193,18,M,White,12,1.21,1.69,0.92,0.972,329,406,1,1,0,71,73,1,High School,0,0,0,0,1
STU000194,14,F,Asian,9,1.49,1.38,0.935,0.971,374,393,1,3,0,54,57,0,Bachelor+,1,0,0,1,0
STU000195,15,F,White,10,1.72,1.82,0.985,0.947,391,418,4,8,2,61,65,1,Some College,0,0,0,0,0
STU000196,16,F,White,11,2.61,2.43,1.0,1.0,584,409,0,0,1,67,69,1,High School,0,0,0,1,0
STU000197,14,F,White,9,2.32,2.76,0.895,0.904,508,535,1,3,1,56,57,0,High School,0,0,0,0,1
STU000198,18,M,White,12,0.58,0.94,0.956,0.996,200,269,4,12,1,70,74,0,Less than HS,0,0,0,0,1
STU000199,16,M,White,11,2.13,2.08,0.945,0.94,471,410,1,2,2,63,65,0,High School,0,0,0,1,0
STU000200,15,M,Hispanic,10,2.32,1.89,0.777,0.751,527,443,3,3,1,59,64,1,Bachelor+,0,0,0,1,1
STU000201,14,F,White,9,1.13,1.42,0.908,0.917,447,344,6,12,0,54,61,1,High School,0,0,0,0,0
STU000202,17,M,Hispanic,12,3.77,3.7,0.973,0.905,631,757,2,6,0,70,73,0,Some College,0,0,0,1,0
STU000203,18,M,Hispanic,12,1.59,1.4,0.965,0.907,431,432,3,9,2,70,75,0,Bachelor+,0,0,1,0,0
STU000204,15,F,Hispanic,10,3.17,3.38,0.986,0.992,592,666,0,0,0,63,64,1,Bachelor+,0,0,1,0,0
STU000205,16,F,Hispanic,11,1.59,1.18,0.913,0.941,380,380,0,0,0,63,63,1,High School,0,0,0,0,1
STU000206,14,F,White,9,2.48,2.48,1.0,0.991,428,506,0,0,1,51,51,0,Bachelor+,0,0,0,0,0
STU000207,16,M,White,11,2.82,2.74,0.896,0.918,386,568,2,4,2,63,67,0,High School,0,1,0,0,0
STU000208,14,M,Hispanic,9,4.0,3.97,0.867,0.951,679,601,0,0,1,57,57,0,Some College,0,0,0,0,0
STU000209,17,F,Other,12,1.94,2.31,0.973,0.961,384,456,0,0,3,75,76,0,Bachelor+,0,0,0,0,0
STU000210,17,F,Black,12,3.71,3.35,0.964,0.951,663,594,0,0,1,71,73,0,High School,0,0,0,1,0
STU000211,14,F,White,9,2.06,2.1,0.989,1.0,402,530,0,0,1,53,53,1,Bachelor+,0,0,1,0,0
STU000212,18,F,Other,12,2.84,2.69,0.941,0.967,507,450,0,0,1,70,70,0,High School,0,0,0,0,0
STU000213,18,F,White,12,1.82,1.68,0.921,0.878,438,481,0,0,1,70,71,1,High School,0,0,0,3,1
STU000214,14,F,White,9,2.58,2.69,0.821,0.909,458,518,0,0,1,57,57,0,Less than HS,0,0,0,2,1
STU000215,17,M,White,12,2.42,2.72,0.946,0.913,475,507,1,2,2,74,77,0,Some College,0,0,0,0,1
STU000216,15,M,White,10,1.93,2.25,1.0,0.984,395,447,0,0,1,61,62,1,Some College,0,0,0,0,1
STU000217,18,F,Hispanic,12,1.38,0.94,0.817,0.813,471,443,1,3,0,70,71,1,High School,0,0,0,0,1
STU000218,16,F,White,11,2.59,2.32,0.894,0.908,513,512,0,0,1,66,67,0,Bachelor+,0,0,0,3,0
STU000219,15,M,Black,10,3.16,2.92,0.942,0.87,569,480,0,0,4,60,60,0,Bachelor+,0,0,0,0,0
STU000220,14,F,Hispanic,9,2.21,2.28,0.982,1.0,464,455,1,1,0,53,56,0,Bachelor+,0,0,0,0,1
STU000221,17,M,Hispanic,12,2.34,1.53,0.939,0.9,482,488,4,12,3,74,79,1,Some College,0,0,0,0,1
STU000222,18,F,White,12,2.36,2.31,1.0,1.0,428,509,3,0,0,72,77,0,Bachelor+,0,0,0,3,1
STU000223,15,M,Asian,10,2.76,2.38,0.931,1.0,530,505,2,2,0,62,64,0,High School,0,0,0,3,1
STU000224,15,M,Asian,10,3.01,3.38,0.957,0.974,540,454,0,0,2,57,57,1,Bachelor+,0,1,0,0,0
